Track ID,Track Name,Artist(s),Album,Release Date,Cover Image,Popularity,Genre
4ulroyDK6rN73nVkCkWhur,Sahiba,"['Jasleen Royal', 'Stebin Ben', 'Vijay Deverakonda', 'Radhikka Madan', 'Priya Saraiya', 'Aditya Sharma']",Sahiba,15-11-2024,https://i.scdn.co/image/ab67616d0000b273b5e7944443cec785db91184b,78,bollywood
1PDREqVNvmphIoNac3Vz8c,Sanam Teri Kasam,"['Ankit Tiwari', 'Palak Muchhal', 'Sameer Anjaan']",Sanam Teri Kasam (Original Motion Picture Soundtrack),06-01-2016,https://i.scdn.co/image/ab67616d0000b273f000fdbe92e9a1058034fd33,74,bollywood
5zCnGtCl5Ac5zlFHXaZmhy,"Sajni (From ""Laapataa Ladies"")","['Ram Sampath', 'Arijit Singh', 'Prashant Pandey']","Sajni (From ""Laapataa Ladies"")",12-02-2024,https://i.scdn.co/image/ab67616d0000b273d5f4378b1ffc9119fdc7306d,75,bollywood
5AnWrUzsrFgBvhn6dUElnr,"Aaj Ki Raat (From ""Stree 2"")","['Sachin-Jigar', 'Madhubanti Bagchi', 'Divya Kumar', 'Amitabh Bhattacharya']","Aaj Ki Raat (From ""Stree 2"")",24-07-2024,https://i.scdn.co/image/ab67616d0000b2735e16168f7e8ff4fb8aace6cf,73,bollywood
78BWCd70D1X6LMkDZm1UoF,Millionaire,['Yo Yo Honey Singh'],Glory,26-08-2024,https://i.scdn.co/image/ab67616d0000b273aad3f4b601ae8763b3fc4e88,74,bollywood
3trnNo4KeaUlFuUiV7iRCj,Tera Chehra,"['Arijit Singh', 'Sameer Anjaan']",Sanam Teri Kasam (Original Motion Picture Soundtrack),06-01-2016,https://i.scdn.co/image/ab67616d0000b273f000fdbe92e9a1058034fd33,73,bollywood
2Fv2injs4qAm8mJBGaxVKU,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","['Arijit Singh', 'Mithoon']","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",31-05-2019,https://i.scdn.co/image/ab67616d0000b273ba03ff79dad25f7c3542382f,74,bollywood
2ceeTJAzKy295Fm0VsaXtE,"Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")","['Sachin-Jigar', 'Raghav Chaitanya', 'Varun Jain', 'Indraneel']","Tum Se (From ""Teri Baaton Mein Aisa Uljha Jiya"")",02-02-2024,https://i.scdn.co/image/ab67616d0000b273b608e9bcf3845d082d1d559e,73,bollywood
3yHyiUDJdz02FZ6jfUbsmY,"Satranga (From ""ANIMAL"")","['Arijit Singh', 'Shreyas Puranik', 'Siddharth - Garima']","Satranga (From ""ANIMAL"")",27-10-2023,https://i.scdn.co/image/ab67616d0000b273021d7017f73387b008eab271,73,bollywood
7eQl3Yqv35ioqUfveKHitE,Tum Se Hi,"['Pritam', 'Mohit Chauhan', 'Irshad Kamil']",Jab We Met,21-09-2007,https://i.scdn.co/image/ab67616d0000b27352fe6875028c892308ffc2f7,73,bollywood
5GJ3WaxTSlxDY3csctX20H,Bewajah,"['Himesh Reshammiya', 'Sameer Anjaan']",Sanam Teri Kasam (Original Motion Picture Soundtrack),06-01-2016,https://i.scdn.co/image/ab67616d0000b273f000fdbe92e9a1058034fd33,72,bollywood
7yDHHVKLbvDmVw1XXhDDIO,Pehle Bhi Main,"['Vishal Mishra', 'Raj Shekhar']",ANIMAL,24-11-2023,https://i.scdn.co/image/ab67616d0000b2735f3ede47954a93aa03efe5f9,73,bollywood
45PA9lW7U5LYnlpGrdTyHY,Sang Rahiyo (feat. Ujjwal Kashyap),"['Jasleen Royal', 'Ujjwal Kashyap']",Sang Rahiyo (feat. Ujjwal Kashyap),10-09-2020,https://i.scdn.co/image/ab67616d0000b2733e4ba46c9324ef423f347c35,72,bollywood
1bxzr3JK05fMTcweGAZUHp,"Chuttamalle (From ""Devara Part 1"")","['Shilpa Rao', 'Anirudh Ravichander', 'Ramajogayya Sastry']","Chuttamalle (From ""Devara Part 1"")",05-08-2024,https://i.scdn.co/image/ab67616d0000b2736d97b3dc154dfdbe2321fb5c,72,bollywood
76ZWOhRRQzmb4xMoZzTjJ9,Payal,"['Yo Yo Honey Singh', 'Paradox']",Glory,26-08-2024,https://i.scdn.co/image/ab67616d0000b273aad3f4b601ae8763b3fc4e88,72,bollywood
2cPUB8EOT6AfJ8oxhyoNXL,Ye Tune Kya Kiya,"['Pritam', 'Javed Bashir']",Once Upon Ay Time In Mumbai Dobaara !,22-07-2013,https://i.scdn.co/image/ab67616d0000b273fe77bd21eb38ff74b5f21524,72,bollywood
